ID,CT0,GAP0,R
1,-0.5333333333333333,-1290.0,1
2,-0.1645569620253164,90.0,-1
3,0.7666666666666667,-570.0,-1
4,-0.4098360655737705,-815.0,1
5,-0.2627118644067797,405.0,1
6,-0.9090909090909091,70.0,1
7,-0.5418502202643172,335.0,1
8,-0.6861702127659575,355.0,1
9,-0.821969696969697,60.0,-1
10,0.4354838709677419,-780.0,1
11,-0.08287292817679558,120.0,1
12,-0.8915662650602409,595.0,1
13,-0.5299539170506913,-570.0,1
14,0.2808219178082192,-245.0,-1
15,0.3815789473684211,365.0,1
16,-0.3235294117647059,-590.0,1
17,-0.07272727272727272,-120.0,-1
18,0.6857142857142857,130.0,1
19,0.07142857142857142,210.0,-1
20,0.9315476190476191,-315.0,1
21,0.5243243243243243,-485.0,1
22,-0.9688385269121813,180.0,-1
23,0.7175572519083969,240.0,1
24,0.6264367816091954,245.0,-1
25,0.6355140186915887,-840.0,1
26,-0.2419354838709677,340.0,1
27,0.5648148148148148,620.0,1
28,-0.5906040268456376,190.0,-1
29,0.5173745173745173,655.0,-1
30,0.3057553956834532,-200.0,-1
31,0.25,-90.0,-1
32,0.1276595744680851,1040.0,-1
33,0.678714859437751,-55.0,1
34,-0.6486486486486487,-660.0,-1
35,0.2926829268292683,-100.0,-1
36,-0.1164021164021164,465.0,1
37,-0.72265625,175.0,-1
38,0.705685618729097,520.0,-1
39,0.8771929824561403,-30.0,-1
40,0.502092050209205,305.0,-1
41,0.8886554621848739,2920.0,-1
42,-0.5380434782608695,-300.0,1
43,0.312,-490.0,-1
44,0.336996336996337,120.0,1
45,-0.4046822742474916,780.0,1
46,0.02054794520547945,270.0,1
47,-0.2596153846153846,135.0,1
48,-0.6363636363636364,-930.0,-1
49,-0.1857142857142857,-45.0,-1
50,0.5452054794520548,1940.0,1
51,0.654911838790932,-200.0,1
52,-0.4175824175824176,170.0,-1
53,0.4411764705882353,-580.0,-1
54,0.9006622516556292,-325.0,1
55,-1.0,-505.0,-1
56,0.8904109589041096,380.0,1
57,0.8269230769230769,20.0,1
58,0.08135593220338982,525.0,-1
59,-0.4494773519163763,-210.0,1
60,-0.5745454545454546,-365.0,-1
61,0.49185667752443,-260.0,1
62,-0.9794344473007712,-280.0,-1
63,0.3927492447129909,-5.0,-1
