ANO,MES,DIA,ID,CT0,GAP0,R
2016,1,4,1,-0.5333333333333333,-1290.0,-1
2016,1,5,2,-0.1645569620253164,90.0,0
2016,1,6,3,0.7666666666666667,-570.0,-1
2016,1,7,4,-0.4098360655737705,-815.0,0
2016,1,8,5,-0.2627118644067797,405.0,-1
2016,1,11,6,-0.9090909090909091,70.0,0
2016,1,12,7,-0.5418502202643172,335.0,0
2016,1,13,8,-0.6861702127659575,355.0,1
2016,1,14,9,-0.821969696969697,60.0,-1
2016,1,15,10,0.4354838709677419,-780.0,0
2016,1,18,11,-0.08287292817679558,120.0,0
2016,1,19,12,-0.8915662650602409,595.0,0
2016,1,20,13,-0.5299539170506913,-570.0,0
2016,1,21,14,0.2808219178082192,-245.0,-1
2016,1,22,15,0.3815789473684211,365.0,0
2016,1,26,16,-0.3235294117647059,-590.0,0
2016,1,27,17,-0.07272727272727272,-120.0,-1
2016,1,28,18,0.6857142857142857,130.0,-1
2016,1,29,19,0.07142857142857142,210.0,-1
2016,2,1,20,0.9315476190476191,-315.0,0
2016,2,2,21,0.5243243243243243,-485.0,-1
2016,2,3,22,-0.9688385269121813,180.0,-1
2016,2,4,23,0.7175572519083969,240.0,-1
2016,2,5,24,0.6264367816091954,245.0,-1
2016,2,11,25,0.6355140186915887,-840.0,0
2016,2,12,26,-0.2419354838709677,340.0,0
2016,2,15,27,0.5648148148148148,620.0,0
2016,2,16,28,-0.5906040268456376,190.0,-1
2016,2,17,29,0.5173745173745173,655.0,-1
2016,2,18,30,0.3057553956834532,-200.0,-1
2016,2,19,31,0.25,-90.0,-1
2016,2,22,32,0.1276595744680851,1040.0,-1
2016,2,23,33,0.678714859437751,-55.0,-1
2016,2,24,34,-0.6486486486486487,-660.0,0
2016,2,25,35,0.2926829268292683,-100.0,-1
2016,2,26,36,-0.1164021164021164,465.0,1
2016,2,29,37,-0.72265625,175.0,-1
2016,3,1,38,0.705685618729097,520.0,-1
2016,3,2,39,0.8771929824561403,-30.0,-1
2016,3,3,40,0.502092050209205,305.0,-1
2016,3,4,41,0.8886554621848739,2920.0,-1
2016,3,7,42,-0.5380434782608695,-300.0,1
2016,3,8,43,0.312,-490.0,-1
2016,3,9,44,0.336996336996337,120.0,1
2016,3,10,45,-0.4046822742474916,780.0,1
2016,3,11,46,0.02054794520547945,270.0,-1
2016,3,14,47,-0.2596153846153846,135.0,-1
2016,3,15,48,-0.6363636363636364,-930.0,-1
2016,3,16,49,-0.1857142857142857,-45.0,-1
2016,3,17,50,0.5452054794520548,1940.0,-1
2016,3,18,51,0.654911838790932,-200.0,1
2016,3,21,52,-0.4175824175824176,170.0,-1
2016,3,22,53,0.4411764705882353,-580.0,-1
2016,3,23,54,0.9006622516556292,-325.0,1
2016,3,24,55,-1.0,-505.0,-1
2016,3,28,56,0.8904109589041096,380.0,-1
2016,3,29,57,0.8269230769230769,20.0,-1
2016,3,30,58,0.08135593220338982,525.0,-1
2016,3,31,59,-0.4494773519163763,-210.0,1
2016,4,1,60,-0.5745454545454546,-365.0,-1
2016,4,4,61,0.49185667752443,-260.0,1
2016,4,5,62,-0.9794344473007712,-280.0,-1
2016,4,6,63,0.3927492447129909,-5.0,-1
2016,4,7,64,-0.4658119658119658,-320.0,0
2016,4,8,65,0.5594059405940595,1170.0,-1
2016,4,11,66,0.7789473684210526,90.0,0
2016,4,12,67,-0.481651376146789,775.0,-1
2016,4,13,68,0.7681940700808625,1725.0,-1
2016,4,14,69,-0.3439716312056738,245.0,-1
2016,4,15,70,-0.0380952380952381,550.0,-1
2016,4,18,71,-0.0783132530120482,670.0,1
2016,4,19,72,-0.65625,685.0,-1
2016,4,20,73,0.2592592592592592,-365.0,-1
2016,4,22,74,0.2828947368421053,-615.0,-1
2016,4,25,75,0.05128205128205128,-175.0,0
2016,4,26,76,-0.86328125,330.0,-1
2016,4,27,77,0.7868852459016393,-265.0,-1
2016,4,28,78,0.9857954545454546,-620.0,-1
2016,4,29,79,0.3864734299516908,-115.0,1
2016,5,2,80,-0.6569037656903766,250.0,0
2016,5,3,81,-0.5699481865284974,-580.0,0
2016,5,4,82,-0.75,-450.0,-1
2016,5,5,83,0.7393364928909952,145.0,1
2016,5,6,84,-0.5454545454545454,-155.0,-1
2016,5,9,85,-0.01357466063348416,100.0,1
2016,5,10,86,-0.340122199592668,430.0,-1
2016,5,11,87,0.9952038369304557,-155.0,1
2016,5,12,88,-0.5316455696202531,660.0,-1
2016,5,13,89,-0.05901639344262295,-390.0,1
2016,5,16,90,-0.7070217917675545,415.0,-1
2016,5,17,91,0.004464285714285714,265.0,1
2016,5,18,92,-0.6873156342182891,-300.0,-1
2016,5,19,93,-0.1451612903225807,-220.0,-1
2016,5,20,94,-0.196319018404908,260.0,-1
2016,5,23,95,-0.528,-820.0,-1
2016,5,24,96,0.06862745098039216,330.0,-1
2016,5,25,97,0.08379888268156424,305.0,-1
2016,5,27,98,-0.2191780821917808,140.0,-1
2016,5,30,99,-0.5074626865671642,95.0,0
2016,5,31,100,-0.7767857142857143,85.0,-1
2016,6,1,101,-0.6067961165048543,-110.0,-1
2016,6,2,102,0.5454545454545454,-55.0,-1
2016,6,3,103,0.8627450980392157,-145.0,-1
2016,6,6,104,0.8044692737430168,305.0,0
2016,6,7,105,-0.6275510204081632,120.0,-1
2016,6,8,106,0.2823529411764706,85.0,-1
2016,6,9,107,0.6942148760330579,-340.0,0
2016,6,10,108,-0.271523178807947,-590.0,1
2016,6,13,109,-0.925,-265.0,-1
2016,6,14,110,0.6355140186915887,-480.0,-1
2016,6,15,111,-0.4132947976878613,1315.0,-1
2016,6,16,112,-0.03816793893129771,-350.0,-1
2016,6,17,113,0.7491749174917491,-35.0,-1
2016,6,20,114,0.06395348837209303,975.0,-1
2016,6,21,115,-0.2542372881355932,-5.0,-1
2016,6,22,116,0.3696498054474708,230.0,-1
2016,6,23,117,-0.8816793893129771,825.0,-1
2016,6,24,118,0.7579250720461095,-2965.0,-1
2016,6,27,119,0.3935018050541516,-255.0,1
2016,6,28,120,-0.3949579831932773,865.0,-1
2016,6,29,121,0.3507462686567164,485.0,-1
2016,6,30,122,0.74,-160.0,-1
2016,7,1,123,0.2488888888888889,205.0,-1
2016,7,4,124,0.6748768472906403,285.0,-1
2016,7,5,125,0.1379310344827586,-615.0,0
2016,7,6,126,-0.3291139240506329,-425.0,-1
